id,base_price,created_at,description,duration_minutes,image_url,is_active,is_featured,name,price_range,updated_at,category_id,customer_notified_at,published_at,warranty_included,status,icon_url
1,1200.00,2026-02-26 09:22:05.936364,"Everyday exterior wash for Sri Lankan road dust, rain marks and light mud, finished with interior vacuuming and glass wipe-down for hatchbacks, sedans and compact SUVs.",45,https://res.cloudinary.com/dwiefdqus/image/upload/v1777795286/servio/services/kh1bna6hiy93vewlde3i.jpg,true,true,Washing Packages,"from LKR 1,200",2026-05-03 14:58:41.77279,1,2026-05-03 13:33:34.202623,2026-02-26 09:22:05.936364,false,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800518/servio/services/icons/gnxrrujk8r8zg8bfrmpx.png
2,1500.00,2026-02-26 09:22:06.077094,"Professional oil and filter change service for Japanese, European and hybrid vehicles. Oil grade and package can be selected at booking based on engine requirement.",45,https://res.cloudinary.com/dwiefdqus/image/upload/v1777797050/servio/services/yp7jlmex3tlyslkxxlir.jpg,true,true,Lube Services,"from LKR 1,500",2026-05-03 14:57:29.287555,1,2026-05-03 14:10:22.559948,2026-02-26 09:22:06.077094,true,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800415/servio/services/icons/blif5ihnvgfmdgou3ykd.png
3,3000.00,2026-02-26 09:22:06.214324,"Deep interior and exterior detailing for vehicles exposed to Colombo traffic, coastal humidity and monsoon dirt. Includes cabin cleaning, trim care, wash, polish prep and finishing.",,,true,false,Exterior & Interior Detailing,"from LKR 3,000",2026-02-26 09:22:06.214331,1,,2026-02-26 09:22:06.214324,,PUBLISHED,
4,2500.00,2026-02-26 09:22:06.352849,"Engine tune-up and diagnostic service for improved idle, fuel economy and acceleration. Suitable for petrol vehicles with rough idle, delayed pickup or routine maintenance needs.",60,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800836/servio/services/photos/d7xagkldcdi7d15ij2km.jpg,true,false,Engine Tune ups,"from LKR 2,500",2026-05-03 15:04:03.617428,1,2026-05-03 15:04:03.616684,2026-02-26 09:22:06.352849,true,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800784/servio/services/icons/uen5badk3abctrufjxpu.png
5,1000.00,2026-02-26 09:22:06.492056,"Comprehensive multi-point inspection report for used-car buyers and current owners, covering mechanical, electrical, accident signs, undercarriage condition and diagnostic findings.",,,true,false,Inspection Reports,"from LKR 1,000",2026-02-26 09:22:06.492063,1,,2026-02-26 09:22:06.492056,,PUBLISHED,
6,800.00,2026-02-26 09:22:06.974024,"Tyre care service covering pressure check, puncture inspection, rotation advice and basic balancing support for city and highway driving conditions.",60,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800990/servio/services/photos/nykue9corx0ewcrshqzm.webp,true,false,Tyre Services,from LKR 800,2026-05-03 15:06:38.048557,1,2026-05-03 15:06:38.047706,2026-02-26 09:22:06.974024,true,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800885/servio/services/icons/djmydfaoqlzdeglcybx7.png
7,1200.00,2026-02-26 09:22:07.115456,"Protective waxing service for tropical sun, salt air and rain exposure. Restores gloss and adds a temporary protective layer over cleaned exterior paintwork.",,,true,false,Waxing,"from LKR 1,200",2026-02-26 09:22:07.115464,1,,2026-02-26 09:22:07.115456,,PUBLISHED,
8,2000.00,2026-02-26 09:22:07.257712,"Undercarriage degreasing and wash for oil residue, mud and coastal road grime. Recommended before inspections, repairs or after long-distance travel in wet conditions.",,,true,false,Undercarriage Degreasing,"from LKR 2,000",2026-02-26 09:22:07.257718,1,,2026-02-26 09:22:07.257712,,PUBLISHED,
9,1500.00,2026-02-26 09:22:07.400434,Windscreen cleaning and rain-repellent treatment to improve visibility during heavy rain and night driving. Includes glass decontamination and wiper area inspection.,60,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800740/servio/services/photos/bndfngljy8wacxscic8p.jpg,true,false,Windscreen Treatments,"from LKR 1,500",2026-05-03 15:02:29.994748,1,2026-05-03 15:02:29.99363,2026-02-26 09:22:07.400434,true,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800598/servio/services/icons/ioddzxdnhkpryz75dkh2.png
10,1500.00,2026-02-26 09:22:07.535413,"Battery health check, terminal cleaning and charging system inspection for petrol, diesel and hybrid vehicles. Replacement quotation provided when required.",30,https://res.cloudinary.com/dwiefdqus/image/upload/v1777796902/servio/services/h3h48kgplclf7fuq5mot.webp,true,true,Battery Services,"from LKR 1,500",2026-05-03 14:58:10.913236,1,2026-05-03 13:58:31.762869,2026-02-26 09:22:07.535413,true,PUBLISHED,https://res.cloudinary.com/dwiefdqus/image/upload/v1777800485/servio/services/icons/edwft13nl7a8vbnn1uvo.png
11,1200.00,2026-02-26 09:22:07.676377,,,,true,false,AC Services,"from LKR 1,200",2026-02-26 09:22:07.676384,1,,2026-02-26 09:22:07.676377,,PUBLISHED,
12,3500.00,2026-02-26 09:22:07.81448,,,,true,false,Hybrid Services,"from LKR 3,500",2026-02-26 09:22:07.814487,1,,2026-02-26 09:22:07.81448,,PUBLISHED,
13,15000.00,2026-02-26 09:22:08.095104,,,,true,false,Packages,"from LKR 15,000",2026-02-26 09:22:08.095107,2,,2026-02-26 09:22:08.095104,,PUBLISHED,
14,8000.00,2026-02-26 09:22:08.235076,,,,true,false,Treatments,"from LKR 8,000",2026-02-26 09:22:08.235088,2,,2026-02-26 09:22:08.235076,,PUBLISHED,
15,,2026-02-26 09:22:08.537643,"Insurance claim support for accident repairs, including damage assessment, photo documentation, estimate preparation and coordination guidance for approved repair work.",,,true,false,Insurance Claims,Quote required,2026-02-26 09:22:08.537659,3,,2026-02-26 09:22:08.537643,,PUBLISHED,
16,2000.00,2026-02-26 09:22:08.68198,"Computerized wheel alignment check and adjustment for better tyre wear, straight-line stability and steering feel after pothole impact or suspension work.",,,true,false,Wheel Alignment,"from LKR 2,000",2026-02-26 09:22:08.681992,3,,2026-02-26 09:22:08.68198,,PUBLISHED,
17,50000.00,2026-02-26 09:22:08.81764,,,,true,false,Full Paints,"from LKR 50,000",2026-02-26 09:22:08.817651,3,,2026-02-26 09:22:08.81764,,PUBLISHED,
18,,2026-02-26 09:22:08.957213,"Genuine, OEM-equivalent or quality aftermarket part replacement with inspection, sourcing advice and installation quotation for wear-and-tear or accident-related repairs.",,,true,false,Part Replacements,Quote required,2026-02-26 09:22:08.957223,3,,2026-02-26 09:22:08.957213,,PUBLISHED,
19,2000.00,2026-02-26 09:22:09.094865,,,,true,false,Repair & Modifications,"from LKR 2,000",2026-02-26 09:22:09.094886,3,,2026-02-26 09:22:09.094865,,PUBLISHED,
